iter	Passed	Remaining
0	14	14413
1	26	13146
2	39	13077
3	52	12954
4	65	13063
5	79	13209
6	91	13011
7	103	12804
8	114	12655
9	126	12538
10	137	12398
11	149	12343
12	164	12494
13	176	12400
14	187	12317
15	203	12488
16	269	15580
17	282	15423
18	295	15262
19	369	18105
20	404	18870
21	427	19008
22	454	19295
23	471	19170
24	495	19322
25	520	19488
26	547	19734
27	582	20211
28	625	20929
29	654	21159
30	700	21904
31	763	23106
32	781	22906
33	807	22954
34	822	22683
35	832	22298
36	841	21909
37	855	21661
38	866	21342
39	875	21019
40	882	20653
41	890	20317
42	898	19992
43	905	19673
44	914	19397
45	921	19102
46	928	18832
47	936	18575
48	944	18322
49	951	18085
50	958	17843
51	966	17618
52	973	17398
53	981	17194
54	990	17014
55	999	16849
56	1010	16712
57	1018	16548
58	1029	16416
59	1037	16256
60	1044	16085
61	1052	15920
62	1059	15762
63	1066	15603
64	1074	15450
65	1081	15306
66	1089	15166
67	1096	15025
68	1103	14892
69	1111	14763
70	1118	14633
71	1125	14509
72	1132	14385
73	1140	14269
74	1147	14153
75	1154	14041
76	1162	13932
77	1169	13823
78	1176	13718
79	1186	13639
80	1198	13592
81	1208	13529
82	1220	13486
83	1234	13457
84	1247	13427
85	1260	13394
86	1269	13327
87	1277	13237
88	1285	13153
89	1292	13072
90	1300	12986
91	1307	12906
92	1315	12826
93	1322	12745
94	1330	12670
95	1337	12593
96	1346	12537
97	1354	12467
98	1362	12397
99	1369	12323
100	1376	12255
101	1384	12187
102	1391	12119
103	1399	12055
104	1407	11995
105	1414	11932
106	1422	11870
107	1430	11814
108	1437	11753
109	1445	11696
110	1452	11636
111	1459	11574
112	1467	11516
113	1474	11457
114	1481	11403
115	1488	11346
116	1496	11295
117	1504	11244
118	1511	11189
119	1519	11139
120	1526	11092
121	1534	11046
122	1546	11024
123	1553	10976
124	1561	10933
125	1568	10883
126	1576	10834
127	1583	10788
128	1590	10738
129	1597	10694
130	1605	10648
131	1612	10605
132	1620	10560
133	1626	10514
134	1634	10473
135	1642	10433
136	1650	10396
137	1657	10355
138	1665	10316
139	1672	10276
140	1683	10258
141	1695	10244
142	1703	10206
143	1710	10166
144	1718	10134
145	1725	10093
146	1733	10058
147	1740	10018
148	1747	9980
149	1755	9946
150	1762	9906
151	1769	9874
152	1777	9839
153	1790	9838
154	1798	9806
155	1806	9775
156	1815	9746
157	1822	9714
158	1831	9685
159	1839	9656
160	1847	9625
161	1858	9614
162	1866	9582
163	1874	9553
164	1883	9532
165	1893	9511
166	1903	9493
167	1915	9485
168	1922	9454
169	1929	9422
170	1937	9393
171	1945	9364
172	1953	9336
173	1960	9307
174	1967	9276
175	1975	9247
176	1982	9217
177	1991	9197
178	2002	9184
179	2010	9160
180	2019	9138
181	2027	9112
182	2036	9092
183	2043	9064
184	2051	9038
185	2063	9029
186	2073	9015
187	2083	8998
188	2093	8984
189	2105	8976
190	2113	8953
191	2121	8927
192	2130	8908
193	2137	8880
194	2147	8867
195	2157	8848
196	2164	8821
197	2173	8805
198	2185	8798
199	2194	8777
200	2201	8750
201	2209	8727
202	2216	8702
203	2224	8680
204	2231	8653
205	2238	8627
206	2246	8605
207	2253	8581
208	2261	8559
209	2269	8539
210	2278	8520
211	2285	8496
212	2294	8477
213	2301	8453
214	2309	8431
215	2316	8409
216	2325	8389
217	2332	8366
218	2339	8344
219	2347	8322
220	2354	8300
221	2363	8282
222	2371	8262
223	2379	8244
224	2387	8222
225	2395	8202
226	2402	8180
227	2412	8169
228	2420	8149
229	2428	8131
230	2435	8108
231	2443	8090
232	2451	8069
233	2460	8052
234	2468	8036
235	2476	8017
236	2484	7997
237	2491	7978
238	2500	7961
239	2509	7945
240	2517	7927
241	2524	7907
242	2532	7887
243	2539	7869
244	2548	7852
245	2555	7833
246	2566	7823
247	2573	7803
248	2581	7785
249	2589	7768
250	2597	7750
251	2604	7731
252	2614	7719
253	2624	7708
254	2636	7702
255	2644	7685
256	2653	7672
257	2665	7665
258	2678	7664
259	2689	7653
260	2701	7649
261	2713	7641
262	2722	7628
263	2729	7609
264	2737	7593
265	2744	7573
266	2752	7556
267	2759	7536
268	2767	7520
269	2774	7502
270	2786	7496
271	2797	7488
272	2805	7471
273	2812	7453
274	2820	7436
275	2829	7422
276	2837	7406
277	2846	7393
278	2854	7377
279	2862	7360
280	2870	7345
281	2878	7329
282	2887	7316
283	2901	7313
284	2908	7297
285	2915	7279
286	2923	7263
287	2931	7246
288	2939	7230
289	2949	7220
290	2962	7217
291	2970	7202
292	2978	7186
293	2986	7171
294	2994	7156
295	3001	7138
296	3009	7123
297	3016	7106
298	3024	7090
299	3031	7073
300	3038	7056
301	3046	7040
302	3055	7028
303	3063	7012
304	3070	6996
305	3078	6982
306	3086	6966
307	3094	6953
308	3102	6936
309	3110	6923
310	3118	6908
311	3128	6897
312	3135	6881
313	3142	6865
314	3150	6850
315	3157	6835
316	3168	6825
317	3180	6821
318	3187	6805
319	3195	6790
320	3202	6774
321	3210	6760
322	3218	6745
323	3226	6731
324	3232	6714
325	3240	6698
326	3247	6684
327	3258	6676
328	3270	6669
329	3284	6667
330	3294	6658
331	3302	6645
332	3312	6634
333	3322	6624
334	3332	6616
335	3342	6605
336	3350	6592
337	3362	6585
338	3373	6577
339	3384	6570
340	3393	6557
341	3402	6546
342	3411	6535
343	3421	6525
344	3431	6515
345	3443	6508
346	3455	6502
347	3467	6496
348	3479	6489
349	3490	6482
350	3501	6475
351	3513	6467
352	3525	6461
353	3535	6452
354	3548	6447
355	3559	6439
356	3570	6431
357	3582	6424
358	3591	6412
359	3600	6401
360	3610	6390
361	3622	6384
362	3633	6376
363	3645	6370
364	3658	6365
365	3677	6370
366	3691	6366
367	3701	6356
368	3710	6344
369	3721	6336
370	3730	6324
371	3741	6316
372	3753	6308
373	3766	6304
374	3779	6299
375	3796	6300
376	3804	6287
377	3812	6273
378	3820	6259
379	3831	6250
380	3842	6242
381	3854	6235
382	3866	6228
383	3877	6220
384	3890	6213
385	3901	6206
386	3914	6199
387	3923	6188
388	3932	6176
389	3942	6166
390	3952	6156
391	3961	6144
392	3973	6136
393	3985	6129
394	3994	6118
395	4003	6106
396	4015	6099
397	4027	6091
398	4038	6082
399	4049	6074
400	4059	6064
401	4068	6051
402	4078	6041
403	4086	6028
404	4095	6017
405	4104	6005
406	4113	5993
407	4121	5980
408	4129	5967
409	4140	5958
410	4150	5947
411	4162	5939
412	4174	5932
413	4184	5922
414	4191	5909
415	4200	5897
416	4207	5882
417	4216	5870
418	4225	5858
419	4234	5846
420	4243	5836
421	4253	5825
422	4262	5814
423	4271	5802
424	4280	5790
425	4289	5779
426	4297	5767
427	4304	5753
428	4313	5741
429	4323	5731
430	4332	5719
431	4343	5710
432	4355	5702
433	4370	5699
434	4383	5692
435	4392	5681
436	4402	5672
437	4413	5663
438	4421	5649
439	4430	5639
440	4438	5626
441	4446	5613
442	4455	5602
443	4465	5592
444	4474	5580
445	4483	5569
446	4492	5557
447	4502	5547
448	4510	5535
449	4519	5524
450	4528	5512
451	4537	5501
452	4545	5488
453	4555	5478
454	4564	5467
455	4573	5456
456	4584	5446
457	4593	5435
458	4603	5426
459	4612	5414
460	4621	5402
461	4629	5390
462	4638	5379
463	4647	5369
464	4661	5363
465	4671	5352
466	4679	5340
467	4688	5329
468	4700	5322
469	4712	5313
470	4723	5304
471	4734	5296
472	4746	5288
473	4758	5280
474	4769	5271
475	4779	5261
476	4789	5251
477	4817	5260
478	4826	5249
479	4833	5236
480	4841	5224
481	4849	5211
482	4856	5198
483	4866	5188
484	4874	5176
485	4881	5163
486	4891	5152
487	4898	5139
488	4906	5127
489	4915	5115
490	4925	5105
491	4933	5093
492	4941	5082
493	4949	5070
494	4958	5058
495	4966	5046
496	4973	5033
497	4980	5021
498	4988	5008
499	4999	4999
500	5007	4987
501	5017	4977
502	5028	4968
503	5039	4959
504	5049	4949
505	5061	4941
506	5072	4932
507	5083	4923
508	5094	4913
509	5102	4902
510	5111	4891
511	5120	4880
512	5128	4868
513	5137	4858
514	5148	4848
515	5161	4841
516	5169	4829
517	5177	4817
518	5187	4808
519	5196	4796
520	5205	4785
521	5215	4775
522	5223	4764
523	5233	4753
524	5243	4743
525	5254	4734
526	5263	4724
527	5272	4712
528	5279	4701
529	5288	4689
530	5295	4677
531	5305	4666
532	5313	4655
533	5323	4645
534	5334	4636
535	5346	4627
536	5355	4617
537	5366	4608
538	5378	4599
539	5386	4588
540	5394	4576
541	5403	4566
542	5411	4554
543	5422	4544
544	5430	4533
545	5438	4522
546	5447	4511
547	5457	4501
548	5470	4494
549	5483	4486
550	5496	4478
551	5510	4472
552	5522	4464
553	5536	4457
554	5548	4448
555	5557	4437
556	5569	4429
557	5581	4420
558	5591	4411
559	5600	4400
560	5609	4389
561	5618	4378
562	5627	4368
563	5637	4358
564	5650	4350
565	5662	4341
566	5672	4332
567	5683	4322
568	5695	4313
569	5706	4304
570	5717	4295
571	5727	4285
572	5737	4275
573	5746	4264
574	5755	4253
575	5767	4245
576	5780	4237
577	5788	4226
578	5801	4218
579	5830	4222
580	5843	4214
581	5852	4203
582	5860	4191
583	5871	4182
584	5879	4171
585	5888	4159
586	5899	4150
587	5910	4141
588	5921	4131
589	5932	4122
590	5945	4114
591	5956	4105
592	5968	4096
593	5980	4087
594	5991	4077
595	6002	4068
596	6014	4060
597	6026	4051
598	6038	4042
599	6051	4034
600	6062	4025
601	6074	4015
602	6084	4005
603	6095	3996
604	6107	3987
605	6118	3978
606	6130	3969
607	6145	3962
608	6154	3951
609	6164	3941
610	6174	3930
611	6182	3919
612	6189	3907
613	6197	3896
614	6205	3884
615	6213	3873
616	6224	3863
617	6235	3854
618	6247	3845
619	6254	3833
620	6263	3822
621	6274	3812
622	6285	3803
623	6297	3794
624	6307	3784
625	6316	3773
626	6325	3762
627	6334	3752
628	6345	3742
629	6357	3733
630	6368	3724
631	6376	3712
632	6387	3703
633	6399	3694
634	6408	3683
635	6418	3673
636	6426	3662
637	6435	3651
638	6444	3640
639	6452	3629
640	6460	3618
641	6471	3608
642	6479	3597
643	6486	3585
644	6494	3574
645	6505	3564
646	6516	3555
647	6527	3545
648	6534	3534
649	6542	3523
650	6550	3511
651	6562	3502
652	6573	3493
653	6584	3483
654	6596	3474
655	6607	3464
656	6618	3455
657	6635	3448
658	6648	3440
659	6658	3429
660	6668	3420
661	6680	3410
662	6688	3399
663	6698	3389
664	6708	3379
665	6716	3368
666	6727	3358
667	6738	3348
668	6748	3338
669	6758	3328
670	6767	3318
671	6775	3307
672	6783	3295
673	6793	3285
674	6801	3274
675	6812	3265
676	6821	3254
677	6850	3253
678	6862	3244
679	6870	3233
680	6877	3221
681	6885	3210
682	6895	3200
683	6904	3189
684	6913	3179
685	6924	3169
686	6933	3158
687	6943	3149
688	6952	3138
689	6962	3127
690	6969	3116
691	6980	3107
692	6992	3097
693	7000	3086
694	7008	3075
695	7018	3065
696	7028	3055
697	7036	3044
698	7043	3033
699	7051	3022
700	7059	3011
701	7067	3000
702	7075	2989
703	7083	2978
704	7092	2967
705	7101	2957
706	7109	2946
707	7119	2936
708	7132	2927
709	7144	2918
710	7151	2906
711	7158	2895
712	7166	2884
713	7173	2873
714	7181	2862
715	7188	2851
716	7195	2840
717	7202	2828
718	7210	2817
719	7217	2806
720	7224	2795
721	7231	2784
722	7238	2773
723	7246	2762
724	7253	2751
725	7260	2740
726	7267	2729
727	7274	2717
728	7282	2707
729	7288	2695
730	7296	2684
731	7303	2673
732	7310	2663
733	7317	2651
734	7325	2641
735	7331	2629
736	7338	2618
737	7345	2607
738	7354	2597
739	7360	2586
740	7367	2575
741	7375	2564
742	7382	2553
743	7389	2542
744	7396	2531
745	7403	2520
746	7410	2509
747	7417	2498
748	7424	2487
749	7431	2477
750	7439	2466
751	7446	2455
752	7453	2445
753	7461	2434
754	7468	2423
755	7475	2412
756	7482	2401
757	7490	2391
758	7498	2381
759	7506	2370
760	7514	2359
761	7522	2349
762	7529	2338
763	7536	2327
764	7543	2317
765	7550	2306
766	7557	2295
767	7564	2285
768	7571	2274
769	7579	2263
770	7586	2253
771	7593	2242
772	7600	2232
773	7608	2221
774	7615	2211
775	7627	2201
776	7637	2191
777	7644	2181
778	7651	2170
779	7658	2160
780	7665	2149
781	7672	2139
782	7680	2128
783	7687	2118
784	7695	2107
785	7702	2097
786	7710	2086
787	7717	2076
788	7724	2065
789	7731	2055
790	7739	2044
791	7746	2034
792	7753	2023
793	7760	2013
794	7768	2003
795	7775	1992
796	7783	1982
797	7790	1972
798	7797	1961
799	7804	1951
800	7811	1940
801	7819	1930
802	7827	1920
803	7834	1909
804	7863	1904
805	7873	1895
806	7884	1885
807	7893	1875
808	7901	1865
809	7909	1855
810	7917	1845
811	7925	1834
812	7932	1824
813	7939	1814
814	7946	1803
815	7954	1793
816	7961	1783
817	7968	1773
818	7976	1762
819	7983	1752
820	7990	1742
821	7998	1731
822	8004	1721
823	8011	1711
824	8019	1701
825	8030	1691
826	8037	1681
827	8044	1671
828	8051	1660
829	8058	1650
830	8065	1640
831	8073	1630
832	8080	1619
833	8087	1609
834	8095	1599
835	8101	1589
836	8110	1579
837	8241	1593
838	8251	1583
839	8259	1573
840	8267	1563
841	8274	1552
842	8281	1542
843	8289	1532
844	8296	1521
845	8304	1511
846	8311	1501
847	8318	1491
848	8325	1480
849	8332	1470
850	8340	1460
851	8347	1449
852	8353	1439
853	8361	1429
854	8368	1419
855	8375	1408
856	8382	1398
857	8389	1388
858	8396	1378
859	8403	1367
860	8410	1357
861	8417	1347
862	8424	1337
863	8431	1327
864	8438	1317
865	8446	1306
866	8453	1296
867	8461	1286
868	8468	1276
869	8475	1266
870	8482	1256
871	8489	1246
872	8496	1236
873	8503	1225
874	8511	1215
875	8518	1205
876	8525	1195
877	8532	1185
878	8539	1175
879	8546	1165
880	8553	1155
881	8560	1145
882	8567	1135
883	8574	1125
884	8581	1115
885	8589	1105
886	8596	1095
887	8604	1085
888	8616	1075
889	8625	1066
890	8632	1056
891	8639	1046
892	8646	1035
893	8653	1026
894	8660	1016
895	8667	1006
896	8674	996
897	8681	986
898	8688	976
899	8695	966
900	8702	956
901	8710	946
902	8726	937
903	8733	927
904	8741	917
905	8748	907
906	8755	897
907	8764	888
908	8771	878
909	8777	868
910	8785	858
911	8792	848
912	8799	838
913	8807	828
914	8815	818
915	8822	809
916	8829	799
917	8837	789
918	8844	779
919	8873	771
920	8885	762
921	8896	752
922	8907	743
923	8918	733
924	8928	723
925	8940	714
926	8950	704
927	8961	695
928	8969	685
929	8976	675
930	8984	665
931	8991	656
932	8999	646
933	9006	636
934	9013	626
935	9020	616
936	9027	606
937	9034	597
938	9041	587
939	9049	577
940	9056	567
941	9063	558
942	9070	548
943	9078	538
944	9085	528
945	9092	519
946	9102	509
947	9114	499
948	9122	490
949	9129	480
950	9137	470
951	9143	461
952	9151	451
953	9158	441
954	9165	431
955	9172	422
956	9179	412
957	9186	402
958	9193	393
959	9201	383
960	9208	373
961	9215	364
962	9222	354
963	9230	344
964	9236	335
965	9243	325
966	9250	315
967	9258	306
968	9265	296
969	9272	286
970	9280	277
971	9287	267
972	9293	257
973	9301	248
974	9309	238
975	9315	229
976	9323	219
977	9330	209
978	9337	200
979	9345	190
980	9352	181
981	9358	171
982	9365	161
983	9372	152
984	9379	142
985	9386	133
986	9393	123
987	9401	114
988	9408	104
989	9415	95
990	9422	85
991	9429	76
992	9436	66
993	9444	57
994	9451	47
995	9458	37
996	9465	28
997	9472	18
998	9480	9
999	9487	0
