iter	RMSE
0	16309.52033
1	15933.60141
2	15573.8595
3	15223.96434
4	14886.8095
5	14560.16403
6	14248.1898
7	13946.62168
8	13656.03545
9	13374.81617
10	13104.72903
11	12846.59694
12	12597.69425
13	12358.59124
14	12127.27248
15	11906.42362
16	11694.79554
17	11489.99505
18	11294.06064
19	11104.17563
20	10923.23884
21	10749.4819
22	10582.8578
23	10423.84102
24	10270.41248
25	10123.51502
26	9983.691195
27	9849.812602
28	9720.435665
29	9596.491278
30	9478.773389
31	9364.149848
32	9256.436491
33	9152.989258
34	9054.025778
35	8958.995832
36	8868.021799
37	8781.403495
38	8698.39741
39	8618.713774
40	8543.124798
41	8470.996246
42	8401.695699
43	8335.430786
44	8273.132741
45	8213.09343
46	8156.393181
47	8100.702083
48	8047.521364
49	7996.820129
50	7948.99024
51	7902.968849
52	7859.687537
53	7819.012543
54	7778.751211
55	7741.242248
56	7704.62231
57	7668.771591
58	7634.138594
59	7601.915207
60	7570.919706
61	7542.045428
62	7513.878903
63	7486.593071
64	7461.07017
65	7435.245916
66	7411.626168
67	7388.637937
68	7365.862927
69	7344.218331
70	7323.889673
71	7303.902132
72	7285.457986
73	7267.075698
74	7249.144148
75	7232.162696
76	7215.739755
77	7199.302836
78	7184.82705
79	7169.335847
80	7154.300491
81	7140.891286
82	7127.613566
83	7114.640207
84	7101.713969
85	7089.473639
86	7077.830035
87	7066.557294
88	7055.182553
89	7044.752992
90	7034.495569
91	7023.703518
92	7014.301388
93	7004.737179
94	6992.590431
95	6981.142212
96	6973.003515
97	6962.492886
98	6953.125939
99	6945.436826
100	6937.985428
101	6928.438214
102	6921.314875
103	6914.612254
104	6906.387829
105	6899.188902
106	6892.033702
107	6877.706326
108	6870.583714
109	6862.294258
110	6855.91636
111	6849.262221
112	6843.456613
113	6836.042427
114	6829.479368
115	6823.962961
116	6818.841469
117	6813.647079
118	6808.793836
119	6804.0333
120	6798.056931
121	6793.214402
122	6788.097315
123	6775.285958
124	6764.737668
125	6760.474398
126	6756.130459
127	6751.902826
128	6745.671791
129	6741.172933
130	6736.087241
131	6732.241047
132	6728.310271
133	6724.461668
134	6714.81595
135	6711.233196
136	6705.37765
137	6701.397785
138	6696.709978
139	6693.130519
140	6687.649276
141	6684.339298
142	6680.412804
143	6675.697005
144	6670.651505
145	6662.256691
146	6654.348296
147	6650.764381
148	6647.394505
149	6643.375027
150	6640.085585
151	6636.423214
152	6631.457289
153	6628.190148
154	6624.754552
155	6619.886391
156	6615.537198
157	6606.487139
158	6602.33567
159	6599.140995
160	6594.512734
161	6591.684687
162	6588.480844
163	6585.438384
164	6581.451421
165	6578.587485
166	6574.239998
167	6565.469874
168	6561.914243
169	6559.090495
170	6554.964859
171	6551.6351
