iter	RMSE
0	9394.987473
1	9095.186148
2	8831.678988
3	8604.850841
4	8413.941643
5	8242.810234
6	8091.792201
7	7960.904826
8	7847.274505
9	7745.998894
10	7659.400699
11	7581.914704
12	7512.807704
13	7451.867282
14	7393.067885
15	7343.481255
16	7296.761246
17	7254.492824
18	7214.335711
19	7177.069658
20	7140.939267
21	7110.581339
22	7077.384165
23	7045.399285
24	7019.510529
25	6995.45678
26	6962.426788
27	6937.36569
28	6910.239245
29	6888.412977
30	6868.972069
31	6851.340915
32	6831.109751
33	6815.90359
34	6796.476787
35	6780.15941
36	6764.362035
37	6729.818446
38	6710.395371
39	6697.236383
40	6685.318052
41	6672.822265
42	6658.235506
43	6630.414195
44	6615.62281
45	6598.761914
46	6575.579542
47	6552.336527
48	6541.439197
49	6531.350528
50	6518.565026
51	6503.216422
52	6494.001931
53	6481.272251
54	6473.091292
55	6450.612361
56	6431.173372
57	6412.603314
58	6378.178658
59	6366.145163
60	6357.531467
61	6349.127213
62	6332.547206
63	6317.667763
64	6309.202996
65	6297.46302
66	6282.530236
67	6260.313576
68	6253.739212
69	6243.978161
70	6231.552272
71	6223.508534
72	6216.109372
73	6210.387405
74	6192.440084
75	6183.567487
76	6174.926801
77	6165.454707
78	6160.078723
79	6154.343217
80	6146.403204
81	6121.935395
82	6114.411098
83	6100.102821
84	6095.137199
85	6081.680023
86	6072.129691
87	6067.57556
88	6062.210042
89	6053.163647
90	6042.282781
91	6035.899785
92	6031.247394
93	6025.847274
94	6014.119059
95	6006.839044
96	5999.696904
97	5992.286153
98	5980.539915
99	5974.556538
100	5968.862052
101	5948.949192
102	5938.939575
103	5923.049657
104	5919.215874
105	5914.448017
106	5906.487672
107	5901.131821
108	5895.541744
109	5886.338582
110	5881.274472
111	5872.444098
112	5867.591253
113	5864.221696
114	5858.593143
115	5854.054633
116	5847.616663
117	5844.631578
118	5837.443913
119	5833.785735
120	5830.709521
121	5826.540007
122	5813.626207
123	5807.944233
124	5804.714961
125	5800.862608
126	5796.740922
127	5793.75891
128	5788.098737
129	5781.986604
130	5777.53321
131	5770.562665
132	5766.956822
133	5764.473013
134	5761.211298
135	5758.865107
136	5754.468815
137	5751.932847
138	5745.490161
139	5740.33578
140	5736.657387
141	5734.095316
142	5730.593129
143	5727.59129
144	5717.367603
145	5712.284941
146	5707.698583
147	5699.596948
148	5690.434513
149	5686.939781
150	5682.561365
151	5674.862427
152	5672.668206
153	5669.727219
154	5662.46702
155	5659.505285
156	5651.886741
157	5644.005459
158	5640.180767
159	5633.274936
160	5627.265649
161	5624.380711
162	5621.556478
163	5617.512457
164	5615.388564
165	5610.916518
166	5608.381162
167	5605.785533
168	5603.998188
169	5601.81026
170	5596.988226
171	5593.14325
172	5584.253678
173	5577.230904
174	5575.598095
175	5573.049351
176	5569.209429
177	5566.258143
178	5563.131271
179	5561.397604
180	5559.234359
181	5555.940551
182	5550.906203
183	5544.662281
184	5542.393074
185	5540.811996
186	5538.642287
187	5536.464121
188	5534.493
189	5532.328665
190	5525.196245
191	5519.428716
192	5496.323511
193	5490.722522
194	5487.253204
195	5485.359178
196	5482.243293
197	5480.292855
198	5478.778319
199	5476.958414
200	5470.521328
201	5465.268244
202	5462.564917
203	5459.234942
204	5454.018646
205	5449.041361
206	5447.603007
207	5445.65729
208	5443.671149
209	5440.785344
210	5437.843718
211	5435.960538
212	5433.167932
213	5431.437205
214	5412.69197
215	5408.382147
216	5403.13298
217	5401.333069
218	5395.349076
219	5390.897655
220	5375.581369
221	5372.888107
222	5370.029732
223	5368.696072
224	5358.258897
225	5357.161057
226	5355.453772
227	5342.953653
228	5340.460541
229	5336.812017
230	5331.687235
231	5327.382367
232	5324.518851
233	5323.084374
234	5318.025115
235	5307.761509
236	5306.478507
237	5302.301851
238	5298.358288
239	5295.494492
240	5293.993799
241	5292.293295
242	5290.002019
243	5288.918893
244	5287.585724
245	5285.055911
246	5283.744629
247	5282.885514
248	5280.626032
249	5278.37126
250	5276.561277
251	5273.307038
252	5264.982877
253	5262.186839
254	5253.873922
255	5251.211461
256	5245.096084
257	5244.098086
258	5242.922412
259	5241.873827
260	5239.611447
261	5238.406492
262	5231.610791
263	5229.551542
264	5227.11293
265	5226.267846
266	5225.524364
267	5224.127938
268	5222.977161
269	5220.792092
270	5218.810172
271	5216.532147
272	5214.229512
273	5211.886642
274	5211.208285
275	5210.120251
276	5208.272158
277	5202.683972
278	5201.912525
279	5200.814596
280	5197.484379
281	5196.679978
282	5195.700406
283	5193.613258
284	5192.665888
285	5191.697437
286	5190.917689
287	5189.560408
288	5188.044085
289	5181.164087
290	5176.591599
291	5174.527203
292	5172.16114
293	5171.150887
294	5169.162828
295	5165.456527
296	5164.786763
297	5158.321089
298	5157.138317
299	5156.514612
300	5155.81127
301	5154.188609
302	5153.13329
303	5152.019642
304	5150.165146
305	5149.614775
306	5148.799912
307	5146.910771
308	5145.966236
309	5144.147839
310	5143.276423
311	5141.750996
312	5141.136885
313	5138.827041
314	5137.884471
315	5137.059412
316	5135.164995
317	5133.263366
318	5132.686514
319	5131.919527
320	5128.328896
321	5126.649257
322	5123.749886
323	5119.337233
324	5117.915804
325	5117.177782
326	5113.724009
327	5112.370283
328	5110.590704
329	5109.834156
330	5106.587475
331	5104.184887
332	5103.6348
333	5101.876427
334	5098.351289
335	5095.412921
336	5094.392707
337	5093.682746
338	5088.109941
339	5087.45582
340	5086.973314
341	5086.21602
342	5085.710588
343	5081.947513
344	5080.257291
345	5078.692496
346	5077.248921
347	5075.668133
348	5074.151141
349	5072.983171
350	5071.23985
351	5070.06798
352	5068.312709
353	5067.866991
354	5065.256385
355	5064.601397
356	5063.469897
357	5060.536982
358	5059.245357
359	5057.993085
360	5057.461635
361	5056.849643
362	5056.39646
363	5055.653728
364	5053.312457
365	5052.001992
366	5050.803292
367	5045.681139
368	5040.325562
369	5036.674395
370	5033.682107
371	5032.362374
372	5031.871082
373	5027.216674
374	5024.067139
375	5022.512085
376	5021.290635
377	5020.736897
378	5018.182939
379	5016.362013
380	5014.899351
381	5013.675806
382	5012.532461
383	5011.91209
384	5010.91817
385	5010.490952
386	5006.420019
387	5004.884306
388	5003.607852
389	5002.267084
390	5001.292517
391	5000.904589
392	5000.322595
393	4999.223377
394	4998.856259
395	4997.873431
396	4997.39857
397	4996.188114
398	4994.730734
399	4991.116554
400	4986.777697
401	4986.263904
402	4984.478538
403	4981.595485
404	4980.910038
405	4980.501051
406	4979.79943
407	4978.415099
408	4976.133133
409	4974.595308
410	4971.463599
411	4970.981282
412	4968.53278
413	4966.321632
414	4962.36713
415	4959.998399
416	4959.193073
417	4958.067127
418	4956.968885
419	4954.827499
420	4953.197076
421	4952.340295
422	4951.930231
423	4951.020261
424	4949.561546
425	4949.21892
426	4948.586777
427	4947.318012
428	4946.284166
429	4944.532318
430	4942.140742
431	4940.162368
432	4937.302807
433	4934.85788
434	4933.382678
435	4931.30933
436	4930.335551
437	4928.368324
438	4927.350077
439	4926.013553
440	4924.710986
441	4924.058437
442	4922.634964
443	4921.012778
444	4920.358404
445	4917.771863
446	4917.433147
447	4917.047555
448	4915.806961
449	4915.001106
450	4913.619725
451	4913.001499
452	4912.449757
453	4911.163719
454	4909.856998
455	4908.258518
456	4907.358294
457	4906.985114
458	4905.528943
459	4904.614265
460	4903.29592
461	4902.436715
462	4901.738265
463	4900.82345
464	4900.505912
465	4899.148162
466	4898.773153
467	4897.157998
468	4893.570286
469	4892.764636
470	4891.452003
471	4890.784791
472	4889.908302
473	4888.156321
474	4886.728959
475	4886.004044
476	4885.684798
477	4884.944457
478	4882.874409
479	4881.450569
480	4880.176872
481	4879.306778
482	4878.252634
483	4877.322632
484	4875.597245
485	4874.481275
486	4873.265257
487	4872.918496
488	4871.615064
489	4871.071563
490	4869.839599
491	4869.113653
492	4868.658236
493	4867.535935
494	4866.461802
495	4865.561922
496	4865.073437
497	4863.864126
498	4862.620028
499	4861.416624
500	4860.718436
501	4859.841958
502	4858.076758
503	4855.846994
504	4854.659516
505	4853.817133
506	4850.748805
507	4849.118755
508	4848.141379
509	4847.159423
510	4846.02399
511	4844.676071
512	4843.729929
513	4841.785153
514	4839.601044
515	4838.683892
516	4837.921048
517	4837.252366
518	4836.356578
519	4834.696122
520	4832.750006
521	4830.780265
522	4829.692952
523	4828.864166
524	4825.845749
525	4824.712653
526	4823.559536
527	4822.941207
528	4821.626088
529	4820.61952
530	4819.600937
531	4819.298229
532	4818.355308
533	4816.57133
534	4815.624203
535	4814.550684
536	4813.879897
537	4813.495311
538	4813.189832
539	4812.840715
540	4812.587298
541	4812.058488
542	4811.461089
543	4811.103992
544	4810.833576
545	4809.752235
546	4808.971603
547	4808.076253
548	4806.433265
549	4805.407485
550	4804.303317
551	4804.039035
552	4802.780128
553	4802.194478
554	4801.669826
555	4800.496409
556	4799.846344
557	4798.845072
558	4797.818425
559	4795.107987
560	4794.375513
561	4791.664542
562	4790.000478
563	4787.525765
564	4786.009097
565	4785.176234
566	4782.672305
567	4780.121115
568	4779.426523
569	4778.721077
570	4777.598967
571	4775.801828
572	4774.880493
573	4773.504952
574	4771.507204
575	4771.160395
576	4770.945002
577	4770.071346
578	4769.108803
579	4767.94338
580	4767.456086
581	4767.134731
582	4766.470889
583	4764.18753
584	4763.394032
585	4763.113944
586	4761.684535
587	4760.447099
588	4759.677341
589	4758.651136
590	4757.885101
591	4756.341424
592	4755.508468
593	4755.055078
594	4753.985484
595	4753.3953
