iter	Passed	Remaining
0	20	20931
1	38	19410
2	57	19161
3	75	18855
4	94	18706
5	228	37922
6	278	39562
7	558	69294
8	584	64314
9	602	59615
10	620	55765
11	639	52663
12	672	51074
13	723	50954
14	753	49464
15	773	47539
16	789	45669
17	806	44000
18	830	42854
19	854	41861
20	869	40517
21	883	39291
22	898	38186
23	912	37109
24	926	36147
25	940	35234
26	955	34416
27	971	33733
28	986	33031
29	1001	32381
30	1018	31843
31	1032	31238
32	1046	30669
33	1060	30117
34	1073	29609
35	1088	29140
36	1102	28686
37	1116	28260
38	1130	27862
39	1143	27455
40	1158	27091
41	1174	26797
42	1189	26481
43	1205	26183
44	1220	25899
45	1235	25614
46	1250	25355
47	1264	25084
48	1280	24845
49	1293	24584
50	1307	24333
51	1323	24132
52	1342	23986
53	1357	23772
54	1370	23552
55	1387	23397
56	1404	23229
57	1424	23129
58	1442	23002
59	1456	22815
60	1469	22627
61	1483	22437
62	1498	22286
63	1512	22120
64	1527	21968
65	1542	21833
66	1558	21696
67	1573	21573
68	1589	21444
69	1604	21318
70	1619	21194
71	1633	21055
72	1648	20936
73	1662	20809
74	1677	20695
75	1692	20579
76	1706	20458
77	1723	20371
78	1737	20259
79	1751	20143
80	1764	20024
81	1780	19933
82	1794	19831
83	1813	19780
84	1833	19734
85	1849	19657
86	1869	19622
87	1883	19524
88	1899	19446
89	1916	19374
90	1935	19330
91	1951	19261
92	1965	19168
93	1983	19121
94	1998	19037
95	2013	18956
96	2027	18874
97	2041	18787
98	2055	18702
99	2070	18636
100	2085	18565
101	2100	18494
102	2114	18416
103	2129	18344
104	2142	18266
105	2156	18186
106	2169	18108
107	2183	18036
108	2197	17961
109	2214	17916
110	2230	17863
111	2246	17812
112	2262	17756
113	2276	17695
114	2290	17630
115	2304	17564
116	2318	17499
117	2337	17468
118	2351	17411
119	2366	17357
120	2380	17289
121	2394	17230
122	2408	17172
123	2421	17110
124	2436	17052
125	2450	16995
126	2463	16935
127	2476	16873
128	2490	16815
129	2504	16758
130	2516	16696
131	2530	16638
132	2544	16589
133	2559	16540
134	2581	16539
135	2599	16515
136	2616	16482
137	2631	16438
138	2645	16388
139	2659	16337
140	2672	16281
141	2686	16230
142	2700	16186
143	2715	16142
144	2730	16100
145	2744	16054
146	2757	16003
147	2772	15963
148	2787	15922
149	2802	15881
150	2825	15883
151	2849	15899
152	2870	15891
153	2887	15862
154	2905	15840
155	2924	15820
156	2942	15797
157	2960	15775
158	2978	15752
159	2998	15741
160	3027	15775
161	3044	15750
162	3067	15751
163	3087	15739
164	3106	15718
165	3123	15693
166	3141	15671
167	3160	15653
168	3178	15629
169	3201	15632
170	3228	15653
171	3251	15650
172	3270	15635
173	3289	15617
174	3307	15592
175	3330	15593
176	3348	15570
177	3366	15547
178	3384	15522
179	3405	15513
180	3424	15494
181	3444	15482
182	3462	15459
183	3482	15442
184	3499	15415
185	3518	15396
186	3535	15371
187	3553	15348
188	3574	15338
189	3592	15317
190	3611	15296
191	3629	15274
192	3647	15249
193	3664	15223
194	3683	15206
195	3701	15182
196	3724	15181
197	3742	15157
198	3761	15140
199	3778	15114
200	3799	15102
201	3834	15147
202	3852	15124
203	3870	15104
204	3889	15084
205	3908	15063
206	3924	15033
207	3941	15007
208	3958	14981
209	3975	14956
210	3992	14928
211	4011	14910
212	4029	14888
213	4047	14865
214	4066	14846
215	4083	14822
216	4101	14799
217	4119	14777
218	4139	14761
219	4158	14743
220	4174	14715
221	4191	14690
222	4209	14667
223	4228	14647
224	4244	14619
225	4261	14593
226	4279	14573
227	4296	14549
228	4316	14532
229	4344	14543
230	4363	14524
231	4381	14504
232	4398	14479
233	4414	14452
234	4434	14434
235	4452	14412
236	4469	14389
237	4488	14369
238	4508	14354
239	4525	14331
240	4542	14307
241	4561	14287
242	4579	14264
243	4594	14236
244	4612	14213
245	4630	14191
246	4649	14175
247	4666	14151
248	4684	14129
249	4702	14108
250	4720	14086
251	4739	14067
252	4758	14048
253	4777	14032
254	4795	14010
255	4825	14023
256	4843	14003
257	4867	13998
258	4889	13989
259	4911	13979
260	4929	13957
261	4945	13929
262	4962	13907
263	4980	13885
264	4996	13858
265	5013	13834
266	5030	13810
267	5047	13786
268	5065	13764
269	5083	13743
270	5100	13721
271	5120	13703
272	5138	13685
273	5156	13662
274	5173	13639
275	5189	13613
276	5206	13589
277	5224	13567
278	5240	13542
279	5258	13520
280	5276	13502
281	5293	13478
282	5310	13455
283	5332	13444
284	5351	13425
285	5369	13404
286	5385	13380
287	5404	13361
288	5420	13335
289	5437	13312
290	5452	13285
291	5466	13255
292	5480	13225
293	5493	13192
294	5507	13161
295	5520	13130
296	5534	13099
297	5548	13069
298	5562	13041
299	5575	13009
300	5588	12977
301	5601	12946
302	5615	12916
303	5629	12888
304	5643	12859
305	5656	12829
306	5670	12800
307	5684	12770
308	5697	12740
309	5710	12710
310	5723	12680
311	5737	12651
312	5750	12621
313	5763	12592
314	5776	12562
315	5789	12532
316	5806	12511
317	5829	12502
318	5846	12480
319	5859	12450
320	5873	12423
321	5887	12396
322	5900	12368
323	5915	12341
324	5928	12313
325	5942	12285
326	5956	12259
327	5970	12231
328	5983	12203
329	5996	12174
330	6009	12146
331	6023	12119
332	6036	12091
333	6050	12064
334	6063	12036
335	6077	12010
336	6099	11999
337	6119	11984
338	6150	11992
339	6171	11980
340	6197	11976
341	6214	11956
342	6231	11935
343	6248	11916
344	6261	11888
345	6274	11860
346	6288	11834
347	6301	11806
348	6320	11790
349	6334	11764
350	6348	11738
351	6361	11711
352	6376	11686
353	6390	11660
354	6403	11634
355	6416	11607
356	6430	11582
357	6443	11555
358	6457	11529
359	6470	11503
360	6483	11476
361	6496	11450
362	6509	11423
363	6523	11397
364	6536	11372
365	6551	11348
366	6564	11323
367	6578	11297
368	6592	11273
369	6606	11249
370	6620	11225
371	6636	11203
372	6649	11177
373	6663	11153
374	6676	11128
375	6690	11103
376	6705	11081
377	6719	11056
378	6732	11031
379	6747	11008
380	6761	10984
381	6774	10960
382	6789	10938
383	6811	10927
384	6828	10907
385	6840	10881
386	6854	10857
387	6868	10833
388	6881	10809
389	6894	10784
390	6909	10762
391	6922	10736
392	6935	10712
393	6948	10687
394	6962	10663
395	6976	10640
396	6989	10616
397	7003	10592
398	7017	10569
399	7034	10551
400	7048	10529
401	7061	10504
402	7075	10481
403	7089	10458
404	7103	10435
405	7116	10411
406	7129	10387
407	7145	10367
408	7163	10351
409	7182	10335
410	7200	10318
411	7212	10294
412	7227	10272
413	7241	10250
414	7255	10228
415	7270	10206
416	7283	10183
417	7297	10160
418	7316	10144
419	7329	10122
420	7344	10100
421	7357	10077
422	7370	10053
423	7384	10031
424	7398	10010
425	7412	9987
426	7425	9964
427	7439	9941
428	7451	9917
429	7464	9895
430	7478	9872
431	7491	9850
432	7505	9828
433	7520	9807
434	7533	9785
435	7548	9764
436	7562	9742
437	7576	9721
438	7589	9699
